video_id,query_id,query_type,final_query,segment_ids,human_decision,revised_query,human_notes
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q01,evidence_cue,"When does the woman with blonde curly hair, wearing a dark sweater over a white shirt, sitting at a table, show a slight smile while looking at the man?",s016,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q02,emotion_state,"At what point does the woman with blonde curly hair, wearing a white shirt and a dark cardigan, appear to show distress while closing her eyes and touching her hair?",s021,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q03,explicit_event,"Which moment shows the woman with blonde curly hair dramatically tilting her head back and opening her mouth, with her eyes closed?",s023,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q04,explicit_event,When does the woman with blonde curly hair in a white shirt and dark cardigan make a loud vocalization with her head tilted back and mouth open?,s025,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q05,evidence_cue,What moment shows the woman with blonde curly hair wincing and shaking her head?,s028,,,
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q06,explicit_event,When does the woman with blonde curly hair throw her head back and make a vocalization?,s029,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q01,evidence_cue,What moment shows the man in the suit smiling while riding a bicycle?,s007 s008,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q02,evidence_cue,When does the man in the suit riding a bicycle look back with a smirk?,s013 s014,,,
emostim_03_MrBeansHoliday_clip_4,emostim_03_MrBeansHoliday_clip_4_q03,emotion_state,At what point does the man in the suit appear frustrated while riding his bicycle uphill?,s017 s018,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q01,emotion_state,At what point does the woman in the green cardigan appear fearful while looking to her right?,s001,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q02,emotion_state,When does the woman in the green cardigan appear to look around with her mouth slightly open?,s002,,,
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q03,explicit_event,Which moment shows the woman in the dark green cardigan aiming a handgun forward with a furious expression?,s003,,,
meld_01_dia337,meld_01_dia337_q02,evidence_cue,What moment shows the man in the navy blue shirt looking at a small object with a disgusted facial expression?,s006,,,
meld_02_dia224,meld_02_dia224_q01,evidence_cue,What moment shows the man in the red shirt making a disgusted face with raised eyebrows and his mouth agape?,s001,,,
meld_02_dia224,meld_02_dia224_q02,explicit_event,When does the man in the light blue polo shirt laugh heartily?,s003 s004,,,
meld_02_dia224,meld_02_dia224_q03,emotion_state,At what point does the man in the blue polo shirt appear happy while laughing heartily?,s003 s004,,,
meld_03_dia572,meld_03_dia572_q01,emotion_state,"At what point does the young woman with blonde hair in pigtails, wearing a hospital gown, appear worried while lying in a hospital bed?",s001,,,
meld_03_dia572,meld_03_dia572_q02,evidence_cue,Which moments show the woman with dark hair in a hospital gown groaning and holding her stomach?,s009 s010 s011,,,
meld_04_dia362,meld_04_dia362_q01,emotion_state,At what point does the woman in the hospital bed appear distressed while speaking to the man?,s003,,,
meld_04_dia362,meld_04_dia362_q02,evidence_cue,Which moment shows the woman's facial expression contorted in pain or sadness?,s003 s004 s005,,,
meld_04_dia362,meld_04_dia362_q03,evidence_cue,What part of the video shows the man leaning over the woman in the hospital bed?,s003 s004 s005,,,
meld_04_dia362,meld_04_dia362_q04,evidence_cue,How does the woman's tone of voice sound when speaking from the hospital bed?,s003 s004 s005,,,
meld_05_dia980,meld_05_dia980_q01,emotion_state,When does the man in the grey sweater appear frustrated while explaining the letter?,s004 s005 s006 s007,,,
meld_05_dia980,meld_05_dia980_q02,evidence_cue,What moment shows the man in the dark shirt looking at the man in the grey sweater with a concerned expression?,s006,,,
meld_05_dia980,meld_05_dia980_q03,explicit_event,"At what point does the man in the grey sweater say, 'This is the hardest letter I've ever had to write'?",s004 s006,,,
moviechat_06_33,moviechat_06_33_q01,emotion_state,"When does the young man with glasses and messy brown hair appear fearful, looking upwards with a distressed expression?",s001,,,
moviechat_06_33,moviechat_06_33_q02,explicit_event,At what point does the young man with glasses and messy brown hair raise his right hand defensively?,s002,,,
moviechat_06_33,moviechat_06_33_q03,explicit_event,When does a large figure embrace a smaller figure warmly?,s022,,,
moviechat_06_33,moviechat_06_33_q04,explicit_event,At what moment does the large bearded man comfort the smaller figure with a broad smile?,s023,,,
moviechat_06_33,moviechat_06_33_q07,evidence_cue,What moment shows the man with a long grey beard and dark clothing hugging the man in the dark jacket and striped shirt?,s096,,,
